t,field,value,color,status,reason,raw
17.0,HR,109,NEUTRAL,OK,hr_present,{age_s=0.0}
17.0,CADENCE,43,AMBER,OK,outside_preferred_band,{age_s=0.0}
17.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
17.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
17.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
17.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
18.0,SPEED,12.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
18.0,POWER,173,NEUTRAL,OK,power_present,{age_s=0.0}
18.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
18.0,CADENCE,50,AMBER,OK,outside_preferred_band,{age_s=0.0}
18.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
18.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
18.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
18.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
19.0,SPEED,13.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
19.0,POWER,111,NEUTRAL,OK,power_present,{age_s=0.0}
19.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
19.0,CADENCE,55,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
19.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
19.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
19.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
19.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
20.0,SPEED,13.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
20.0,POWER,111,NEUTRAL,OK,power_present,{age_s=0.0}
20.0,HR,109,NEUTRAL,OK,hr_present,{age_s=0.0}
20.0,CADENCE,55,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
20.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
20.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
20.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
20.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
21.0,SPEED,13.6,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
21.0,POWER,111,NEUTRAL,OK,power_present,{age_s=0.0}
21.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
21.0,CADENCE,35,AMBER,OK,outside_preferred_band,{age_s=0.0}
21.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
21.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
21.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
21.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
22.0,SPEED,13.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
22.0,POWER,86,NEUTRAL,OK,power_present,{age_s=0.0}
22.0,HR,107,NEUTRAL,OK,hr_present,{age_s=0.0}
22.0,CADENCE,35,AMBER,OK,outside_preferred_band,{age_s=0.0}
22.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
22.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
22.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
22.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
