t,field,value,color,status,reason,raw
30.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
30.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
30.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
30.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
30.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
30.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
31.0,SPEED,0.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
31.0,POWER,1,NEUTRAL,OK,power_present,{age_s=0.0}
31.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
31.0,CADENCE,0,AMBER,OK,outside_preferred_band,{age_s=0.0}
31.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
31.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
32.0,SPEED,0.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
32.0,POWER,2,NEUTRAL,OK,power_present,{age_s=0.0}
32.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
32.0,CADENCE,1,AMBER,OK,outside_preferred_band,{age_s=0.0}
32.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
32.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
33.0,SPEED,0.6,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
33.0,POWER,4,NEUTRAL,OK,power_present,{age_s=0.0}
33.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
33.0,CADENCE,1,AMBER,OK,outside_preferred_band,{age_s=0.0}
33.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
33.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
34.0,SPEED,0.7,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
34.0,POWER,5,NEUTRAL,OK,power_present,{age_s=0.0}
34.0,HR,86,NEUTRAL,OK,hr_present,{age_s=0.0}
34.0,CADENCE,2,AMBER,OK,outside_preferred_band,{age_s=0.0}
34.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
34.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
35.0,SPEED,0.9,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
35.0,POWER,6,NEUTRAL,OK,power_present,{age_s=0.0}
35.0,HR,86,NEUTRAL,OK,hr_present,{age_s=0.0}
35.0,CADENCE,2,AMBER,OK,outside_preferred_band,{age_s=0.0}
35.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
35.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
36.0,SPEED,1.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
36.0,POWER,8,NEUTRAL,OK,power_present,{age_s=0.0}
36.0,HR,86,NEUTRAL,OK,hr_present,{age_s=0.0}
36.0,CADENCE,3,AMBER,OK,outside_preferred_band,{age_s=0.0}
36.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
36.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
37.0,SPEED,1.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
37.0,POWER,9,NEUTRAL,OK,power_present,{age_s=0.0}
37.0,HR,87,NEUTRAL,OK,hr_present,{age_s=0.0}
37.0,CADENCE,3,AMBER,OK,outside_preferred_band,{age_s=0.0}
37.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
37.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
38.0,SPEED,1.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
38.0,POWER,10,NEUTRAL,OK,power_present,{age_s=0.0}
38.0,HR,87,NEUTRAL,OK,hr_present,{age_s=0.0}
38.0,CADENCE,4,AMBER,OK,outside_preferred_band,{age_s=0.0}
38.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
38.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
39.0,SPEED,1.7,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
39.0,POWER,12,NEUTRAL,OK,power_present,{age_s=0.0}
39.0,HR,87,NEUTRAL,OK,hr_present,{age_s=0.0}
39.0,CADENCE,4,AMBER,OK,outside_preferred_band,{age_s=0.0}
39.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
39.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
40.0,SPEED,1.8,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
40.0,POWER,13,NEUTRAL,OK,power_present,{age_s=0.0}
40.0,HR,87,NEUTRAL,OK,hr_present,{age_s=0.0}
40.0,CADENCE,5,AMBER,OK,outside_preferred_band,{age_s=0.0}
40.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
40.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
41.0,SPEED,2.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
41.0,POWER,14,NEUTRAL,OK,power_present,{age_s=0.0}
41.0,HR,88,NEUTRAL,OK,hr_present,{age_s=0.0}
41.0,CADENCE,6,AMBER,OK,outside_preferred_band,{age_s=0.0}
41.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
41.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
42.0,SPEED,2.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
42.0,POWER,16,NEUTRAL,OK,power_present,{age_s=0.0}
42.0,HR,88,NEUTRAL,OK,hr_present,{age_s=0.0}
42.0,CADENCE,6,AMBER,OK,outside_preferred_band,{age_s=0.0}
42.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
42.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
43.0,SPEED,2.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
43.0,POWER,17,NEUTRAL,OK,power_present,{age_s=0.0}
43.0,HR,88,NEUTRAL,OK,hr_present,{age_s=0.0}
43.0,CADENCE,7,AMBER,OK,outside_preferred_band,{age_s=0.0}
43.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
43.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
44.0,SPEED,2.6,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
44.0,POWER,18,NEUTRAL,OK,power_present,{age_s=0.0}
44.0,HR,89,NEUTRAL,OK,hr_present,{age_s=0.0}
44.0,CADENCE,7,AMBER,OK,outside_preferred_band,{age_s=0.0}
44.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
44.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
45.0,SPEED,2.8,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
45.0,POWER,20,NEUTRAL,OK,power_present,{age_s=0.0}
45.0,HR,89,NEUTRAL,OK,hr_present,{age_s=0.0}
45.0,CADENCE,8,AMBER,OK,outside_preferred_band,{age_s=0.0}
45.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
45.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
46.0,SPEED,3.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
46.0,POWER,21,NEUTRAL,OK,power_present,{age_s=0.0}
46.0,HR,89,NEUTRAL,OK,hr_present,{age_s=0.0}
46.0,CADENCE,8,AMBER,OK,outside_preferred_band,{age_s=0.0}
46.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
46.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
47.0,SPEED,3.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
47.0,POWER,22,NEUTRAL,OK,power_present,{age_s=0.0}
47.0,HR,90,NEUTRAL,OK,hr_present,{age_s=0.0}
47.0,CADENCE,9,AMBER,OK,outside_preferred_band,{age_s=0.0}
47.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
47.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
48.0,SPEED,3.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
48.0,POWER,24,NEUTRAL,OK,power_present,{age_s=0.0}
48.0,HR,90,NEUTRAL,OK,hr_present,{age_s=0.0}
48.0,CADENCE,9,AMBER,OK,outside_preferred_band,{age_s=0.0}
48.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
48.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
49.0,SPEED,3.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
49.0,POWER,25,NEUTRAL,OK,power_present,{age_s=0.0}
49.0,HR,90,NEUTRAL,OK,hr_present,{age_s=0.0}
49.0,CADENCE,10,AMBER,OK,outside_preferred_band,{age_s=0.0}
49.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
49.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
50.0,SPEED,3.7,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
50.0,POWER,26,NEUTRAL,OK,power_present,{age_s=0.0}
50.0,HR,90,NEUTRAL,OK,hr_present,{age_s=0.0}
50.0,CADENCE,10,AMBER,OK,outside_preferred_band,{age_s=0.0}
50.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
50.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
51.0,SPEED,3.9,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
51.0,POWER,28,NEUTRAL,OK,power_present,{age_s=0.0}
51.0,HR,91,NEUTRAL,OK,hr_present,{age_s=0.0}
51.0,CADENCE,11,AMBER,OK,outside_preferred_band,{age_s=0.0}
51.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
51.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
52.0,SPEED,4.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
52.0,POWER,29,NEUTRAL,OK,power_present,{age_s=0.0}
52.0,HR,91,NEUTRAL,OK,hr_present,{age_s=0.0}
52.0,CADENCE,12,AMBER,OK,outside_preferred_band,{age_s=0.0}
52.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
52.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
53.0,SPEED,4.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
53.0,POWER,30,NEUTRAL,OK,power_present,{age_s=0.0}
53.0,HR,91,NEUTRAL,OK,hr_present,{age_s=0.0}
53.0,CADENCE,12,AMBER,OK,outside_preferred_band,{age_s=0.0}
53.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
53.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
54.0,SPEED,4.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
54.0,POWER,32,NEUTRAL,OK,power_present,{age_s=0.0}
54.0,HR,92,NEUTRAL,OK,hr_present,{age_s=0.0}
54.0,CADENCE,13,AMBER,OK,outside_preferred_band,{age_s=0.0}
54.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
54.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
55.0,SPEED,4.6,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
55.0,POWER,33,NEUTRAL,OK,power_present,{age_s=0.0}
55.0,HR,92,NEUTRAL,OK,hr_present,{age_s=0.0}
55.0,CADENCE,13,AMBER,OK,outside_preferred_band,{age_s=0.0}
55.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
55.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
56.0,SPEED,4.8,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
56.0,POWER,34,NEUTRAL,OK,power_present,{age_s=0.0}
56.0,HR,92,NEUTRAL,OK,hr_present,{age_s=0.0}
56.0,CADENCE,14,AMBER,OK,outside_preferred_band,{age_s=0.0}
56.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
56.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
57.0,SPEED,5.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
57.0,POWER,36,NEUTRAL,OK,power_present,{age_s=0.0}
57.0,HR,92,NEUTRAL,OK,hr_present,{age_s=0.0}
57.0,CADENCE,14,AMBER,OK,outside_preferred_band,{age_s=0.0}
57.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
57.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
58.0,SPEED,5.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
58.0,POWER,37,NEUTRAL,OK,power_present,{age_s=0.0}
58.0,HR,93,NEUTRAL,OK,hr_present,{age_s=0.0}
58.0,CADENCE,15,AMBER,OK,outside_preferred_band,{age_s=0.0}
58.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
58.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
59.0,SPEED,5.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
59.0,POWER,38,NEUTRAL,OK,power_present,{age_s=0.0}
59.0,HR,93,NEUTRAL,OK,hr_present,{age_s=0.0}
59.0,CADENCE,15,AMBER,OK,outside_preferred_band,{age_s=0.0}
59.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
59.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
60.0,SPEED,5.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
60.0,POWER,40,NEUTRAL,OK,power_present,{age_s=0.0}
60.0,HR,93,NEUTRAL,OK,hr_present,{age_s=0.0}
